trial_num,map,num_agents,wrong_objective,unique_id,wrong_attempts
2,D1_1,0,0,ud8cGQ4,1
3,P2_2,1,0,ud8cGQ4,1
4,D2_0,1,0,ud8cGQ4,1
5,P1_1,0,0,ud8cGQ4,1
6,P2_1,0,0,ud8cGQ4,1
7,P1_2,0.17,0,ud8cGQ4,1
8,D2_1,1,0,ud8cGQ4,1
9,P2_0,1,0,ud8cGQ4,1
10,P1_0,0.49,0,ud8cGQ4,1
11,UN_2,0.49,0,ud8cGQ4,1
12,UN_0,0.49,0,ud8cGQ4,1
13,D1_2,0,0,ud8cGQ4,1
14,UN_1,0.49,0,ud8cGQ4,1
15,D1_0,0.27,0,ud8cGQ4,1
1,D2_1,0.87,0,1hmBAAR,0
2,UN_2,0.1,0,1hmBAAR,0
3,P1_2,0.18,0,1hmBAAR,0
4,P1_0,0.14,0,1hmBAAR,0
5,P2_1,0.21,0,1hmBAAR,0
6,UN_0,0.07,0,1hmBAAR,0
7,D1_1,0.2,0,1hmBAAR,0
8,P2_2,0.82,0,1hmBAAR,0
9,UN_1,0.19,0,1hmBAAR,0
10,P2_0,0.11,0,1hmBAAR,0
11,D1_0,0.21,0,1hmBAAR,0
12,D2_0,0.9,0,1hmBAAR,0
13,D2_2,0.79,0,1hmBAAR,0
14,D1_2,0.13,0,1hmBAAR,0
15,P1_1,0.2,0,1hmBAAR,0
1,P2_0,0,0,5bAe2LW,0
2,UN_1,0,0,5bAe2LW,0
3,P2_2,0.82,0,5bAe2LW,0
4,P2_1,0.15,0,5bAe2LW,0
5,D2_1,1,0,5bAe2LW,0
6,UN_0,0.27,0,5bAe2LW,0
7,D1_1,0.18,0,5bAe2LW,0
8,D1_2,0.38,0,5bAe2LW,0
9,UN_2,0.6,0,5bAe2LW,0
10,P1_1,1,0,5bAe2LW,0
11,D1_0,0.67,0,5bAe2LW,0
12,D2_2,0.9,0,5bAe2LW,0
13,P1_0,0.61,0,5bAe2LW,0
14,D2_0,0.99,0,5bAe2LW,0
15,P1_2,0.37,0,5bAe2LW,0
1,P2_0,0.6,0,1r00TMs,0
2,P2_1,0.19,0,1r00TMs,0
3,P1_1,0.63,0,1r00TMs,0
4,UN_1,0.1,0,1r00TMs,0
5,P2_2,0.77,0,1r00TMs,0
6,UN_2,0.79,0,1r00TMs,0
7,P1_2,0.13,0,1r00TMs,0
8,D2_1,0.8,0,1r00TMs,0
9,D2_0,0.8,0,1r00TMs,0
10,D1_1,0.1,0,1r00TMs,0
11,D1_0,0.75,0,1r00TMs,0
12,P1_0,0.17,0,1r00TMs,0
13,D2_2,0.89,0,1r00TMs,0
14,UN_0,0.12,0,1r00TMs,0
15,D1_2,0.78,0,1r00TMs,0
